"image","prediction","caption_1","caption_2","caption_3","caption_4","caption_5","bleu_avg","bleu_max","bleu_min","meteor_avg","meteor_max","meteor_min","rouge_avg","rouge_max","rouge_min"
"NWPU_31430.jpg","the - click for larger image","A gray plane on the runway and the lawn beside .","A grey plane is on the runway by the lawn .","There is an airplane on the runway with a large lawn by the runway .","A plane is parked on the runway next to the grass .","There is a plane on the runway beside the grass .","0","0","0","0.044435556977550264","0.04761904761904762","0.03546099290780142","0.12605263157894736","0.13333333333333333","0.10526315789473682"
"NWPU_31431.jpg","a view of the beach","Three small planes parked in a line on the airport and a big plane behind them .","There are four aircraft on the open ground, The largest of which is three times as large as the smallest one .","There are many planes of different sizes in a clearing .","Four planes are parked on the runway .","Four planes of different sizes were on the marked ground .","0","0","0","0.07354074156080366","0.09615384615384616","0.04716981132075471","0.18219780219780218","0.26666666666666666","0.13333333333333333"
"NWPU_31432.jpg","a view of the beach","A plane parked in a line on the airport with some marks .","A white plane was parked on the instruction line .","An airplane parked in an open area with many containers next to it .","A plane is parked on the open space .","There is 1 plane on the ground marked .","0","0","0","0.07232979513213075","0.11627906976744186","0","0.1965093729799612","0.3076923076923077","0"
"NWPU_31433.jpg","a small town is surrounded by farmland .","A small plane and a big plane parked next to boarding bridges .","A white plane and a gray plane parked at the boarding port  The white plane was about four times as large as the gray one .","Two planes of different sizes are neatly parked next to the buildings in the airport .","A large plane and a small plane are parked near the terminal .","Two planes are on the marked ground .","0","0","0","0.0922322990672273","0.20444444444444443","0.03289473684210526","0.09671052631578947","0.2105263157894737","0"
"NWPU_31434.jpg","a view of the beach","Two planes parked next to boarding bridges .","Two aircraft were parked at the departure gates .","Two planes of different sizes are neatly parked next to the buildings in the airport .","Two planes are parked next to the terminal .","Two planes are on the marked ground .","0","0","0","0.04966564573244767","0.06711409395973154","0","0.13487179487179485","0.2","0"
"NWPU_31435.jpg","a flock of birds flies over the field","Three planes parked next to boarding bridges of the striped terminal .","Three planes parked on white open space around the building .","Several planes of different sizes are neatly parked beside buildings in the airport .","Many planes are parked around the terminal .","There are three planes on the ground on either side of the building .","0","0","0","0.0689379199715249","0.08620689655172413","0.04672897196261682","0.16718462823725982","0.2105263157894737","0.11111111111111112"
"NWPU_31436.jpg","a view of the beach","Three planes parked on the open area .","Three planes parked on white open space with rows of cars next to the open space .","Three planes parked beside buildings inside the airport, Many cars parked next to the plane .","Three planes and many cars are parked on the open space .","There are three planes on the ground .","0","0","0","0.053810925268301765","0.06493506493506494","0.03164556962025316","0.14976190476190473","0.19047619047619047","0.1"
"NWPU_31437.jpg","a view of the city","A plane parked on the open area and the passing plane behind it .","Here are two white planes, One of which has a dark blue tail .","There are two planes of different sizes on a clearing .","Two planes are parked on the runway .","Two planes are on the marked ground .","0","0","0","0.07475768506302857","0.09615384615384616","0.06493506493506494","0.15999999999999998","0.2222222222222222","0.1111111111111111"
"NWPU_31438.jpg","the view from the top of the tower","A plane with the red mark and a white plane parked next to a boarding bridge while some facilities around them .","Here are two aircraft parked at the boarding port, And the larger one is five times as large as the smaller one .","Two planes of different sizes are neatly parked next to the buildings in the airport .","A large plane and a small plane are parked next to the terminal .","Two planes are on the marked ground .","0","0","0","0.05794675474732332","0.09868421052631579","0.024271844660194174","0.13428999785821374","0.19999999999999998","0.06896551724137931"
"NWPU_31439.jpg","a close - up of a person 's hand","A plane parked on the airport while some orange facilities and white cars around them .","There is a white plane in the open space, Surrounded by two white cars and three orange cars .","An airplane parked in an open area with many containers next to it .","A plane and many cars are parked on the open space .","There is an airplane in the parking lot .","0","0","0","0.02037396155043214","0.042735042735042736","0","0.05382855131138884","0.10526315789473685","0"
